year,area,volume
2010,960.4585,58.8142
2012,960.4585,58.8142
2014,960.4585,58.8142
2016,959.2659,58.7873
2018,941.3762,57.6466
2020,915.8701,54.7283
2022,902.8378,53.6646
2024,882.5193,51.7114
2026,863.9428,50.2403
2028,867.5016,50.348
2030,826.7503,47.686
2032,810.8113,46.0513
2034,751.8572,42.5041
2036,734.17,40.3121
2038,703.3228,38.5867
2040,670.0219,36.3173
2042,644.6253,34.2504
2044,597.9909,31.8622
2046,581.5616,30.4309
2048,566.4646,29.1062
2050,538.0875,27.4043
2052,510.7908,25.902
2054,507.5502,25.2372
2056,463.841,22.7893
2058,430.7915,20.9299
2060,413.554,19.5281
2062,405.8954,18.926
2064,393.0903,18.0173
2066,380.5592,17.2808
2068,377.0033,16.9058
2070,352.0669,15.3333
2072,314.1571,13.4608
2074,311.6542,13.2051
2076,309.4064,12.9647
2078,307.8277,12.6334
2080,302.0082,12.1309
2082,288.3523,11.4015
2084,285.3151,11.1166
2086,287.4533,11.089
2088,293.3765,11.0969
2090,295.2882,11.1935
2092,281.2429,10.4746
2094,285.3571,10.4965
2096,291.5234,10.6002
2098,263.8578,9.5011
2100,239.5553,8.6328
