year,area,volume
2010,960.4584999999998,58.814150800000036
2012,960.4584999999998,58.814150800000036
2014,960.4584999999998,58.814150800000036
2016,959.5396999999999,58.79968150000004
2018,941.7711000000006,57.67219390000001
2020,922.8790000000001,55.269184399999986
2022,859.3201000000003,50.446543500000004
2024,831.0812999999995,47.704119499999926
2026,765.7135000000003,43.3326995
2028,718.6231000000002,40.74161320000003
2030,678.1615000000005,37.97790859999998
2032,692.3809000000009,38.63867930000005
2034,689.2446999999981,37.246944200000016
2036,641.8805999999996,34.17660810000008
2038,596.4263999999982,31.930114400000015
2040,528.2460999999997,28.25783660000002
2042,494.2659000000001,25.829754999999984
2044,482.45619999999985,24.44443599999998
2046,486.7516,24.664540799999983
2048,474.63070000000016,23.551308300000027
2050,442.54949999999957,21.63050049999997
2052,418.4838999999997,20.10399349999999
2054,382.16929999999996,18.232715600000027
2056,364.14520000000033,17.002709700000004
2058,354.62449999999995,16.089922800000007
2060,318.2296999999998,14.302974400000009
2062,300.85880000000003,12.919820400000003
2064,299.7107999999998,12.825045199999991
2066,289.96080000000006,12.011421400000005
2068,278.63399999999984,11.186780400000002
2070,263.9395,10.420889899999981
2072,246.6825000000001,9.59552539999999
2074,246.22579999999994,9.349345099999994
2076,221.01350000000005,8.074041100000002
2078,217.72679999999994,7.977347599999998
2080,216.14520000000002,7.725308699999996
2082,201.3941000000001,6.871936500000003
2084,175.0893000000001,5.941024399999995
2086,156.82830000000016,5.126319800000001
2088,155.55080000000015,4.831082200000002
2090,141.62760000000011,4.0672644
2092,133.91560000000004,3.6517558000000006
2094,128.33120000000005,3.3452868999999996
2096,119.23340000000012,2.9443014000000023
2098,108.40340000000012,2.5549202000000006
2100,107.79200000000007,2.5005688999999998
